"","event","latitude","longitude","raw_intensity_measure","intensity_classification","f_cluster_2","f_cluster_3","f_cluster_5","f_cluster_16","f_cluster_19","f_cluster_21","f_cluster_5_rating","f_cluster_19_rating"
"193","fire",41.0494,-123.6769,0.1,1,2,2,2,4,4,4,1.10598290598291,1.05391804457225
"194","fire",41.0481,-123.6731,0.2,1,2,2,2,4,4,4,1.10598290598291,1.05391804457225
"195","fire",41.0483,-123.6814,0.1,1,2,2,2,4,4,4,1.10598290598291,1.05391804457225
"196","fire",41.0481,-123.6725,0.1,1,2,2,2,4,4,4,1.10598290598291,1.05391804457225
"197","fire",41.0506,-123.6744,0.5,1,2,2,2,4,4,4,1.10598290598291,1.05391804457225
"198","fire",41.0481,-123.6728,4,1,2,2,2,4,4,4,1.10598290598291,1.05391804457225
"199","fire",41.0497,-123.6847,0.2,1,2,2,2,4,4,4,1.10598290598291,1.05391804457225
"200","fire",41.0481,-123.6714,0.2,1,2,2,2,4,4,4,1.10598290598291,1.05391804457225
"201","fire",41.0481,-123.6811,0.1,1,2,2,2,4,4,4,1.10598290598291,1.05391804457225
"202","fire",41.0506,-123.6797,0.1,1,2,2,2,4,4,4,1.10598290598291,1.05391804457225
"203","fire",41.0803,-123.6886,0.2,1,2,2,2,4,4,4,1.10598290598291,1.05391804457225
"204","fire",41.0153,-123.6906,0.2,1,2,2,2,4,4,4,1.10598290598291,1.05391804457225
"205","fire",41.0769,-123.6889,0.3,1,2,2,2,4,4,4,1.10598290598291,1.05391804457225
"206","fire",41.0797,-123.6889,5,1,2,2,2,4,4,4,1.10598290598291,1.05391804457225
"207","fire",41.0744,-123.6889,0.1,1,2,2,2,4,4,4,1.10598290598291,1.05391804457225
"208","fire",41.0775,-123.6892,0.1,1,2,2,2,4,4,4,1.10598290598291,1.05391804457225
"209","fire",41.1314,-123.6872,0.1,1,2,2,2,4,4,4,1.10598290598291,1.05391804457225
"210","fire",41.1017,-123.6889,0.1,1,2,2,2,4,4,4,1.10598290598291,1.05391804457225
"211","fire",41.1017,-123.69,0.2,1,2,2,2,4,4,4,1.10598290598291,1.05391804457225
"212","fire",41.06078,-123.68925,0,1,2,2,2,4,4,4,1.10598290598291,1.05391804457225
"213","fire",41.0822,-123.6906,0.1,1,2,2,2,4,4,4,1.10598290598291,1.05391804457225
"214","fire",41.0575,-123.6881,0.1,1,2,2,2,4,4,4,1.10598290598291,1.05391804457225
"215","fire",41.0842,-123.6883,0.1,1,2,2,2,4,4,4,1.10598290598291,1.05391804457225
"216","fire",41.0689,-123.6872,0.3,1,2,2,2,4,4,4,1.10598290598291,1.05391804457225
"217","fire",41.06069,-123.68878,2,1,2,2,2,4,4,4,1.10598290598291,1.05391804457225
"218","fire",41.1281,-123.6881,0.5,1,2,2,2,4,4,4,1.10598290598291,1.05391804457225
"219","fire",41.1511,-123.6872,5,1,2,2,2,4,4,4,1.10598290598291,1.05391804457225
"220","fire",41.0833,-123.6892,0,1,2,2,2,4,4,4,1.10598290598291,1.05391804457225
"221","fire",41.0603,-123.6886,0.5,1,2,2,2,4,4,4,1.10598290598291,1.05391804457225
"222","fire",41.1317,-123.6875,0.3,1,2,2,2,4,4,4,1.10598290598291,1.05391804457225
"223","fire",41.0544,-123.6878,0.3,1,2,2,2,4,4,4,1.10598290598291,1.05391804457225
"224","fire",41.065,-123.6906,1,1,2,2,2,4,4,4,1.10598290598291,1.05391804457225
"225","fire",41.1047,-123.6906,0.2,1,2,2,2,4,4,4,1.10598290598291,1.05391804457225
"226","fire",41.0836,-123.6892,0.1,1,2,2,2,4,4,4,1.10598290598291,1.05391804457225
"227","fire",41.0647,-123.6872,0.1,1,2,2,2,4,4,4,1.10598290598291,1.05391804457225
"228","fire",41.0803,-123.6883,0.1,1,2,2,2,4,4,4,1.10598290598291,1.05391804457225
"229","fire",41.0564,-123.6878,0.5,1,2,2,2,4,4,4,1.10598290598291,1.05391804457225
"230","fire",41.0681,-123.6881,5,1,2,2,2,4,4,4,1.10598290598291,1.05391804457225
"231","fire",41.0653,-123.6886,0.1,1,2,2,2,4,4,4,1.10598290598291,1.05391804457225
"232","fire",41.0794,-123.6875,0.1,1,2,2,2,4,4,4,1.10598290598291,1.05391804457225
